id_sexo,sexo,id_jurisdiccion,jurisdiccion,anio,jurisdiccion_tasa_sifilis
3.0,Ambos sexos,90.0,Tucuman,2022.0,46.8
3.0,Ambos sexos,90.0,Tucuman,2023.0,45.9
2.0,Mujeres,200.0,Arg,2022.0,62.2
2.0,Mujeres,200.0,Arg,2023.0,75.4
2.0,Mujeres,2.0,Caba,2022.0,37.9
2.0,Mujeres,2.0,Caba,2023.0,44.6
2.0,Mujeres,6.0,Buenos Aires,2022.0,3.7
2.0,Mujeres,6.0,Buenos Aires,2023.0,9.9
2.0,Mujeres,10.0,Catamarca,2022.0,5.7
2.0,Mujeres,10.0,Catamarca,2023.0,101.6
2.0,Mujeres,22.0,Chaco,2022.0,97.7
2.0,Mujeres,22.0,Chaco,2023.0,107.0
2.0,Mujeres,26.0,Chubut,2022.0,84.7
2.0,Mujeres,26.0,Chubut,2023.0,100.1
2.0,Mujeres,14.0,Cordoba,2022.0,139.8
2.0,Mujeres,14.0,Cordoba,2023.0,178.9
2.0,Mujeres,18.0,Corrientes,2022.0,28.2
2.0,Mujeres,18.0,Corrientes,2023.0,44.2
2.0,Mujeres,30.0,Entre Rios,2022.0,15.5
2.0,Mujeres,30.0,Entre Rios,2023.0,25.8
2.0,Mujeres,34.0,Formosa,2022.0,148.9
2.0,Mujeres,34.0,Formosa,2023.0,166.1
2.0,Mujeres,38.0,Jujuy,2022.0,114.8
2.0,Mujeres,38.0,Jujuy,2023.0,137.2
2.0,Mujeres,42.0,La Pampa,2022.0,102.9
2.0,Mujeres,42.0,La Pampa,2023.0,195.5
2.0,Mujeres,46.0,La Rioja,2022.0,75.0
2.0,Mujeres,46.0,La Rioja,2023.0,82.3
2.0,Mujeres,50.0,Mendoza,2022.0,62.9
2.0,Mujeres,50.0,Mendoza,2023.0,67.6
2.0,Mujeres,54.0,Misiones,2022.0,91.0
2.0,Mujeres,54.0,Misiones,2023.0,77.3
2.0,Mujeres,58.0,Neuquen,2022.0,31.5
2.0,Mujeres,58.0,Neuquen,2023.0,52.5
2.0,Mujeres,62.0,Rio Negro,2022.0,74.4
2.0,Mujeres,62.0,Rio Negro,2023.0,95.9
2.0,Mujeres,66.0,Salta,2022.0,88.7
2.0,Mujeres,66.0,Salta,2023.0,104.3
2.0,Mujeres,70.0,San Juan,2022.0,120.5
2.0,Mujeres,70.0,San Juan,2023.0,111.9
2.0,Mujeres,74.0,San Luis,2022.0,154.7
2.0,Mujeres,74.0,San Luis,2023.0,173.6
2.0,Mujeres,78.0,Santa Cruz,2022.0,75.0
2.0,Mujeres,78.0,Santa Cruz,2023.0,81.6
2.0,Mujeres,82.0,Santa Fe,2022.0,110.4
2.0,Mujeres,82.0,Santa Fe,2023.0,133.3
2.0,Mujeres,86.0,Santiago Del Estero,2022.0,10.6
2.0,Mujeres,86.0,Santiago Del Estero,2023.0,26.7
2.0,Mujeres,94.0,Tierra Del Fuego,2022.0,60.5
2.0,Mujeres,94.0,Tierra Del Fuego,2023.0,112.7
2.0,Mujeres,90.0,Tucuman,2022.0,46.0
2.0,Mujeres,90.0,Tucuman,2023.0,43.8
1.0,Varones,200.0,Arg,2022.0,52.9
1.0,Varones,200.0,Arg,2023.0,62.8
1.0,Varones,2.0,Caba,2022.0,27.0
1.0,Varones,2.0,Caba,2023.0,31.4
1.0,Varones,6.0,Buenos Aires,2022.0,12.1
1.0,Varones,6.0,Buenos Aires,2023.0,24.3
1.0,Varones,10.0,Catamarca,2022.0,10.4
1.0,Varones,10.0,Catamarca,2023.0,119.6
1.0,Varones,22.0,Chaco,2022.0,58.3
1.0,Varones,22.0,Chaco,2023.0,68.2
1.0,Varones,26.0,Chubut,2022.0,74.9
1.0,Varones,26.0,Chubut,2023.0,94.0
1.0,Varones,14.0,Cordoba,2022.0,136.2
1.0,Varones,14.0,Cordoba,2023.0,171.9
1.0,Varones,18.0,Corrientes,2022.0,22.0
1.0,Varones,18.0,Corrientes,2023.0,31.7
1.0,Varones,30.0,Entre Rios,2022.0,7.1
1.0,Varones,30.0,Entre Rios,2023.0,16.0
1.0,Varones,34.0,Formosa,2022.0,92.9
1.0,Varones,34.0,Formosa,2023.0,82.5
1.0,Varones,38.0,Jujuy,2022.0,101.2
1.0,Varones,38.0,Jujuy,2023.0,127.4
1.0,Varones,42.0,La Pampa,2022.0,69.7
1.0,Varones,42.0,La Pampa,2023.0,114.2
1.0,Varones,46.0,La Rioja,2022.0,54.7
1.0,Varones,46.0,La Rioja,2023.0,30.5
1.0,Varones,50.0,Mendoza,2022.0,73.6
1.0,Varones,50.0,Mendoza,2023.0,76.6
1.0,Varones,54.0,Misiones,2022.0,63.6
1.0,Varones,54.0,Misiones,2023.0,55.4
1.0,Varones,58.0,Neuquen,2022.0,27.2
1.0,Varones,58.0,Neuquen,2023.0,48.8
1.0,Varones,62.0,Rio Negro,2022.0,72.5
1.0,Varones,62.0,Rio Negro,2023.0,83.8
1.0,Varones,66.0,Salta,2022.0,95.3
1.0,Varones,66.0,Salta,2023.0,96.4
1.0,Varones,70.0,San Juan,2022.0,93.5
1.0,Varones,70.0,San Juan,2023.0,72.5
1.0,Varones,74.0,San Luis,2022.0,115.3
1.0,Varones,74.0,San Luis,2023.0,114.3
1.0,Varones,78.0,Santa Cruz,2022.0,60.4
1.0,Varones,78.0,Santa Cruz,2023.0,54.5
1.0,Varones,82.0,Santa Fe,2022.0,89.9
1.0,Varones,82.0,Santa Fe,2023.0,109.0
1.0,Varones,86.0,Santiago Del Estero,2022.0,11.5
1.0,Varones,86.0,Santiago Del Estero,2023.0,14.0
1.0,Varones,94.0,Tierra Del Fuego,2022.0,86.3
1.0,Varones,94.0,Tierra Del Fuego,2023.0,124.3
1.0,Varones,90.0,Tucuman,2022.0,47.6
1.0,Varones,90.0,Tucuman,2023.0,47.9
